temperature,available_spare,available_spare_threshold,percentage_used,endurance group critical warning summary,data_units_read,data_units_written,host_read_commands,host_write_commands,controller_busy_time,power_cycles,power_on_hours,unsafe_shutdowns,media_errors,num_err_log_entries,Warning Temperature Time,ritical omposite Temperature Time,Thermal Management T1 Trans ount,Thermal Management T2 Trans ount,Thermal Management T1 Total Time,Thermal Management T2 Total Time,Timestamp
 46 , 100, 10, 3, 0, 32276926, 18605734, 464752804, 321432030, 10698, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:53:22.478367
 47 , 100, 10, 3, 0, 32277142, 18606070, 464758029, 321433824, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:53:32.541609
 47 , 100, 10, 3, 0, 32277310, 18606615, 464761412, 321436370, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:53:42.596424
 46 , 100, 10, 3, 0, 32277344, 18606687, 464762859, 321436857, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:53:52.634155
 43 , 100, 10, 3, 0, 32277396, 18606689, 464763944, 321436921, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:54:02.675528
 42 , 100, 10, 3, 0, 32277399, 18606695, 464763998, 321437159, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:54:12.715669
 42 , 100, 10, 3, 0, 32277403, 18606696, 464764139, 321437214, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:54:22.769763
 41 , 100, 10, 3, 0, 32277404, 18606700, 464764195, 321437311, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:54:32.809110
 40 , 100, 10, 3, 0, 32277405, 18606700, 464764214, 321437316, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:54:42.850403
 40 , 100, 10, 3, 0, 32277405, 18606701, 464764222, 321437380, 10699, 2019, 3535, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 11:54:52.886513
 47 , 100, 10, 3, 0, 32361842, 18741466, 465708593, 322239458, 10723, 2019, 3538, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 15:01:06.449589
 42 , 100, 10, 3, 0, 32361863, 18741470, 465709187, 322239618, 10723, 2019, 3538, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 15:01:16.473946
 44 , 100, 10, 3, 0, 32362909, 18741502, 465716897, 322240487, 10723, 2019, 3538, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 15:01:26.499121
 41 , 100, 10, 3, 0, 32362910, 18741505, 465716940, 322240659, 10723, 2019, 3538, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 15:01:36.520000
 40 , 100, 10, 3, 0, 32362911, 18741508, 465716947, 322240712, 10723, 2019, 3538, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 15:01:46.549502
 40 , 100, 10, 3, 0, 32362911, 18741511, 465716969, 322240909, 10723, 2019, 3538, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 15:01:56.577664
 44 , 100, 10, 3, 0, 32380594, 18745668, 466021515, 322359209, 10727, 2019, 3540, 104, 0, 0, 0, 0, 34, 0, 263, 0,2021-07-12 16:40:48.896897
